mensaje,numero,my_sto,sto,cfo,snr,crc_error,previous_overflow_sum
"120M 4MSPS:0",0,-1.49248e-06,18.8133,-0.187503,5.85431,0,0
"120M 4MSPS:01",1,-8.75147e-07,24.8905,-0.180793,6.85774,0,0
"120M 4MSPS:02",2,6.1684e-08,74.0076,-0.17358,10.824,0,0
"120M 4MSPS:03",3,-3.78195e-06,61.5271,-0.187681,5.04012,0,0
"120M 4MSPS:04",4,1.51752e-06,127.19,-0.18527,8.69377,0,0
"120M 4MSPS:05",5,-1.4957e-06,111.813,-0.169117,9.05385,0,0
"120M 4MSPS:06",6,6.47149e-08,53.008,-0.179653,8.57558,0,0
"120M 4MSPS:07",7,1.46867e-06,83.1835,-0.184288,7.76325,0,0
"120M 4MSPS:08",8,3.34789e-06,96.4184,-0.186515,11.1889,0,0
"120M 4MSPS:09",9,2.48043e-06,68.31,-0.181305,9.65579,0,0
"120M 4MSPS:010",10,-2.55511e-07,123.968,-0.172587,10.9631,0,0
"120M 4MSPS:011",11,-3.24585e-06,56.5942,-0.190321,6.92947,0,0
"120M 4MSPS:012",12,5.48948e-07,104.069,-0.172689,4.22245,0,0
"120M 4MSPS:013",13,2.94038e-06,3.36744,-0.183886,8.64557,0,0
"120M 4MSPS:014",14,-1.70004e-06,27.7874,-0.181591,7.30694,0,0
"120M 4MSPS:015",15,1.66704e-06,98.2083,-0.183428,7.68413,0,0
"120M 4MSPS:016",16,7.90803e-07,113.099,-0.176131,8.70154,0,0
"120M 4MSPS:017",17,-1.64644e-06,84.7941,-0.167865,10.584,0,0
"120M 4MSPS:018",18,2.7649e-06,32.3455,-0.178211,8.36915,0,0
"120M 4MSPS:019",19,3.10212e-06,120.388,-0.18362,2.61764,0,0
"120M 4MSPS:020",20,1.12294e-06,15.1403,-0.18089,5.36598,0,0
"120M 4MSPS:021",21,1.62897e-06,102.204,-0.180595,6.01899,0,0
"120M 4MSPS:022",22,2.76806e-06,12.3459,-0.176024,9.93089,0,0
"120M 4MSPS:023",23,2.98678e-06,53.3732,-0.185539,9.22,0,0
"120M 4MSPS:024",24,3.37898e-06,104.422,-0.185047,9.65745,0,0
"120M 4MSPS:025",25,3.26336e-06,10.4078,-0.178276,10.0659,0,0
"120M 4MSPS:026",26,-2.66484e-06,60.6668,-0.194053,10.5105,0,0
"120M 4MSPS:027",27,-1.08083e-05,7.64827,-1.18412,6.59939,0,0
"120M 4MSPS:028",28,3.40211e-07,47.0424,-0.182073,7.13623,0,0
"120M 4MSPS:029",29,1.63291e-06,100.204,-0.182752,6.76348,0,0
"120M 4MSPS:030",30,3.80197e-06,53.4751,-0.188025,7.36287,0,0
"120M 4MSPS:031",31,-2.29147e-06,54.7135,-0.173496,5.80115,0,0
"120M 4MSPS:032",32,3.65926e-06,82.4573,-0.1839,8.75705,0,0
"120M 4MSPS:033",33,3.60079e-06,62.45,-0.192772,7.15318,0,0
